117,0
119,0
697,0
892,0
894,0
3539,0
94,1
414,1
674,1
697,1
861,1
870,1
884,1
884,1
885,1
1117,1
2559,1
2582,1
2582,1
2582,1
3075,1
3823,1
4274,1
29,2
674,2
697,2
704,2
729,2
729,2
779,2
779,2
793,2
798,2
1099,2
1104,2
1808,2
1947,2
2297,2
4262,2
4308,2
5103,2
557,3
674,3
697,3
704,3
704,3
729,3
1265,3
1799,3
1835,3
1835,3
1835,3
1835,3
1960,3
2335,3
2335,3
2335,3
2589,3
3098,3
3275,3
3555,3
5157,3
69,4
69,4
351,4
433,4
433,4
674,4
729,4
730,4
730,4
740,4
742,4
923,4
1381,4
1559,4
1724,4
1724,4
1725,4
2525,4
3116,4
3544,4
3544,4
4288,4
4296,4
4296,4
4412,4
4416,4
4624,4
4642,4
5071,4
5071,4
5084,4
5416,4
5508,4
521,5
522,5
522,5
522,5
540,5
677,5
697,5
729,5
779,5
798,5
926,5
1066,5
1412,5
1808,5
1809,5
1870,5
1870,5
1871,5
1871,5
3116,5
3201,5
4884,5
424,6
630,6
674,6
677,6
704,6
730,6
733,6
733,6
741,6
742,6
923,6
1420,6
1725,6
1831,6
1949,6
1949,6
3823,6
4189,6
4522,6
4944,6
5035,6
5130,6
5142,6
295,7
616,7
674,7
798,7
1140,7
1146,7
1337,7
1725,7
1862,7
2151,7
3122,7
3742,7
4958,7
5064,7
5303,7
22,8
96,8
97,8
227,8
412,8
414,8
414,8
422,8
423,8
424,8
521,8
558,8
674,8
697,8
697,8
704,8
704,8
870,8
883,8
1231,8
1315,8
1835,8
1835,8
1835,8
1835,8
1927,8
2356,8
2559,8
2851,8
3007,8
3114,8
3292,8
3317,8
3317,8
3411,8
3443,8
3446,8
3446,8
3447,8
4022,8
4145,8
4229,8
4274,8
4639,8
4639,8
4655,8
4655,8
5023,8
5373,8
26,9
35,9
70,9
270,9
674,9
745,9
746,9
746,9
763,9
798,9
798,9
1112,9
1115,9
1115,9
1456,9
1456,9
1470,9
1470,9
1725,9
1785,9
1982,9
2007,9
